WorkStationID;WorkStationName;DistrictDesc;ProvinceDesc;MFL Code;DHIS2 UID;Hims code;Name;Province;District;Constituency;Ward;Zone;Location;Type;Ownership;Ownership type;Operational status;Mobility status;Accesibility;Catchment population head count;Catchment population cso;Number of households;Latitude;Longitude
19;PREMIUM MEDICAL SERVICES (MATERNITY);LUSAKA;LUSAKA;3666;;50060239;PREMIUM MEDICAL SERVICES LIMITED (MATERNITY);LUSAKA;LUSAKA;Matero;Matero;;Urban;Health Centre;Private;Private;Functional;Fixed;Open;;;;-15,4049475;28,277176
19;PREMIUM MEDICAL SERVICES (MATERNITY);LUSAKA;LUSAKA;4332;JP28dHx9Z4v;50060240;PREMIUM MEDICAL SERVICES LIMITED;LUSAKA;LUSAKA;Lusaka Central;Independence;;Urban;General clinic;Private;Private;Functional;Fixed;Open;;;;-15,4233353;28,2882911
20;SUN BIRD OPTICIANS;LUSAKA;LUSAKA;4369;;50060271;SUNBIRD OPTICIAN LEVY;LUSAKA;LUSAKA;Lusaka Central;Independence;;Urban;Eye clinic;Private;Private;Functional;Fixed;Open;;;;-15,4287;28,2898
21;FAMILY MEDICAL CLINIC;LUSAKA;LUSAKA;4262;vbNgpmnhtGY;50060092;FAMILY MEDICAL CLINIC;LUSAKA;LUSAKA;Lusaka Central;Independence;;Urban;General clinic;Private;Private;Functional;Fixed;Open;;;;-15,418276;28,280147
21;FAMILY MEDICAL CLINIC;LUSAKA;LUSAKA;4199;tYzMRLiaZ70;50060349;AMEER MEDICAL CLINIC;LUSAKA;LUSAKA;Munali;Munali;;Urban;General clinic;Private;Private;Functional;Fixed;Open;;;;-15,42039394;28,21459641
22;ZHONGYI SURGERY;LUSAKA;LUSAKA;4319;Xv0kDPM80S3;50060306;ZHANGA YING SURGERY;LUSAKA;LUSAKA;Kabwata;Kabwata;;Urban;General clinic;Private;Private;Functional;Fixed;Open;;;;;
24;HARVEST MEDICAL CENTRE;LUSAKA;LUSAKA;4309;rkNZukO2Plz;50060244;RAPHA MEDICAL CENTRE;LUSAKA;LUSAKA;Munali;Mtendere;;Urban;General clinic;Private;Private;Functional;Fixed;Open;;;;-15,4065639;28,3703176
25;TRADE KINGS STAFF CLINIC;LUSAKA;LUSAKA;4345;;50060278;TRADE KINGS STAFF CLINIC;LUSAKA;LUSAKA;Lusaka Central;Independence;;Urban;General clinic;Private;Private;Functional;Fixed;Open;;;;-15,4185935;28,2706048
26;SOWETO MEDICAL CENTRE;LUSAKA;LUSAKA;4317;VtBghcd7h94;50060297;WHB MEDICAL CENTRE;LUSAKA;LUSAKA;Mandevu;Mulungushi;;Urban;General clinic;Private;Private;Functional;Fixed;Open;;;;-15,392212;28,308881
26;SOWETO MEDICAL CENTRE;LUSAKA;LUSAKA;4478;;50060383;PETRA MEDICAL CENTRE;LUSAKA;LUSAKA;Kanyama;Makeni Villa;;Urban;Health Centre;Private;Private;Functional;Fixed;Open;;;;-15,4199264;28,2456613
